City,AustinTime,AustinDist,HoustonTime,HoustonDist
denton,12665,3 hours 31 mins,14959,4 hours 9 mins
el paso,29752,8 hours 16 mins,36866,10 hours 14 mins
river oaks,10898,3 hours 2 mins,14425,4 hours 0 mins
alsa,13789,3 hours 50 mins,14480,4 hours 1 min
whaley corner,9812,2 hours 44 mins,2692,45 mins
bammel,9977,2 hours 46 mins,1403,23 mins
flower mound,12721,3 hours 32 mins,14410,4 hours 0 mins
north cleveland,11649,3 hours 14 mins,2793,47 mins
hebron,12316,3 hours 25 mins,14008,3 hours 53 mins
huntsville,10453,2 hours 54 mins,4129,1 hour 9 mins
crawford,5936,1 hour 39 mins,11991,3 hours 20 mins
oltine,9571,2 hours 40 mins,1027,17 mins
galveston,12489,3 hours 28 mins,3212,54 mins
sansom park,11044,3 hours 4 mins,14571,4 hours 3 mins
euless,11496,3 hours 12 mins,13631,3 hours 47 mins
kingswood,10826,3 hours 0 mins,1970,33 mins
duncanville,10654,2 hours 58 mins,12601,3 hours 30 mins
florence hill,10965,3 hours 3 mins,12912,3 hours 35 mins
aldine,9571,2 hours 40 mins,1027,17 mins
henly,2307,38 mins,10894,3 hours 2 mins
oldham,33307,9 hours 15 mins,37886,10 hours 31 mins
webb,11452,3 hours 11 mins,16966,4 hours 43 mins
waxahachie,9230,2 hours 34 mins,11658,3 hours 14 mins
pharr,16941,4 hours 42 mins,19106,5 hours 18 mins
bordersville,10234,2 hours 51 mins,1378,23 mins
freeland,19152,5 hours 19 mins,27302,7 hours 35 mins
missouri city,9704,2 hours 42 mins,1541,26 mins
jamaica beach,13574,3 hours 46 mins,4297,1 hour 12 mins
aubrey,13434,3 hours 44 mins,15421,4 hours 17 mins
brady,7950,2 hours 13 mins,16537,4 hours 36 mins
arnold,7217,2 hours 0 mins,12713,3 hours 32 mins
quanah,20713,5 hours 45 mins,24215,6 hours 44 mins
longview,16837,4 hours 41 mins,12462,3 hours 28 mins
san angelo,12476,3 hours 28 mins,21063,5 hours 51 mins
marshall creek,12104,3 hours 22 mins,14493,4 hours 2 mins
wadsworth,10876,3 hours 1 min,5651,1 hour 34 mins
three rivers,8008,2 hours 13 mins,12514,3 hours 29 mins
colleyville,11490,3 hours 12 mins,14273,3 hours 58 mins
garland,12185,3 hours 23 mins,13501,3 hours 45 mins
woodville,14987,4 hours 10 mins,6131,1 hour 42 mins
bobwyn,12791,3 hours 33 mins,21173,5 hours 53 mins
jacinto city,10021,2 hours 47 mins,716,12 mins
bardwell,9513,2 hours 39 mins,11023,3 hours 4 mins
weatherford,11853,3 hours 18 mins,15484,4 hours 18 mins
sewards junction,2257,38 mins,10713,2 hours 59 mins
bartonville,12474,3 hours 28 mins,14788,4 hours 6 mins
honey grove,16139,4 hours 29 mins,17616,4 hours 54 mins
glen rose,9480,2 hours 38 mins,15003,4 hours 10 mins
gonzales,4512,1 hour 15 mins,7566,2 hours 6 mins
lockhart,2107,35 mins,8377,2 hours 20 mins
somerville,6391,1 hour 47 mins,5071,1 hour 25 mins
edna,8412,2 hours 20 mins,5759,1 hour 36 mins
muleshoe,25759,7 hours 9 mins,33408,9 hours 17 mins
pineland,17258,4 hours 48 mins,9375,2 hours 36 mins
alvord,13169,3 hours 39 mins,16671,4 hours 38 mins
westlake,11872,3 hours 18 mins,14402,4 hours 0 mins
