Date,Calories,Carbs,Fat,Protein,Carbs %,Fat %,Protein %,Link
2015-03-07,1707,204,67,56,50,37,14,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-07
2015-03-08,1712,149,96,59,35,51,14,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-08
2015-03-09,1838,170,84,101,37,41,22,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-09
2015-03-10,1773,220,62,82,50,32,19,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-10
2015-03-11,1765,207,67,91,46,34,20,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-11
2015-03-12,1700,209,54,68,52,30,17,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-12
2015-03-13,2659,218,42,57,59,26,15,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-13
2015-03-14,1268,139,44,32,51,37,12,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-14
2015-03-15,2163,229,103,75,43,43,14,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-15
2015-03-16,2113,261,77,109,48,32,20,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-16
2015-03-17,1384,163,56,67,46,35,19,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-17
2015-03-18,1804,218,70,80,48,35,18,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-18
2015-03-19,1594,149,82,67,37,46,17,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-19
2015-03-20,1886,208,66,98,46,33,22,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-20
2015-03-21,2160,119,142,60,24,64,12,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-21
2015-03-22,3820,314,194,94,37,52,11,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-22
2015-03-23,1476,140,71,70,38,43,19,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-23
2015-03-24,1360,186,39,68,54,26,20,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-24
2015-03-25,1857,244,70,75,51,33,16,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-25
2015-03-26,1832,165,92,86,36,45,19,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-26
2015-03-27,1665,214,63,76,50,33,18,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-27
2015-03-28,1623,118,92,64,30,53,16,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-28
2015-03-29,2755,313,148,46,45,48,7,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-29
2015-03-30,1515,201,50,68,53,29,18,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-30
2015-03-31,3153,289,106,74,48,40,12,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-03-31
2015-04-01,1490,129,40,49,48,34,18,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-01
2015-04-02,1410,168,65,27,49,43,8,http://www.myfitnesspal.com/food/diary/arachne538?date=2015-04-02
