Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File
2014-05-23 20:32:00,Running,,2.25,27:00,11:59,5.01,189.0,17.52,,,2014-05-23-2032.gpx
2014-05-21 08:10:00,Running,"Asmara loop",3.10,40:00,12:54,4.65,245.0,58.70,,,2014-05-21-0810.gpx
2014-05-20 08:00:00,Running,,3.10,40:00,12:54,4.65,245.0,58.70,,,2014-05-20-0800.gpx
2014-05-17 16:55:00,Running,,4.28,54:00,12:38,4.75,342.0,64.22,,,2014-05-17-1655.gpx
2014-05-15 08:15:00,Running,,2.62,34:00,12:58,4.63,203.0,40.13,,,2014-05-15-0815.gpx
2014-05-14 07:30:00,Running,,3.00,36:00,11:59,5.00,247.0,8.47,,,2014-05-14-0730.gpx
2014-05-13 08:11:00,Running,,2.50,30:00,12:00,5.00,204.0,,,,
2014-05-06 08:30:00,Running,,2.50,31:14,12:30,4.80,194.0,,,,
2014-05-04 12:23:35,Hiking,,3.91,1:33:54,24:02,2.50,318.0,90.62,,,2014-05-04-1223.gpx
2014-05-04 10:31:56,Hiking,,3.53,1:23:45,23:43,2.53,275.0,56.26,,,2014-05-04-1031.gpx
2014-05-03 12:28:58,Running,,3.01,37:40,12:30,4.80,246.0,41.57,,,2014-05-03-1228.gpx
2014-05-01 08:08:47,Running,,2.52,29:19,11:40,5.15,227.0,87.55,,,2014-05-01-0808.gpx
2014-04-30 08:02:54,Running,,3.02,35:54,11:54,5.04,261.0,80.64,,,2014-04-30-0802.gpx
2014-04-28 08:07:35,Running,,2.51,30:30,12:09,4.94,220.0,83.02,,,2014-04-28-0807.gpx
2014-04-26 17:16:21,Running,,0.07,3:32,48:29,1.24,7.0,0.00,,,2014-04-26-1716.gpx
2014-04-26 06:22:13,Running,,5.00,1:07:02,13:24,4.48,391.0,90.41,,,2014-04-26-0622.gpx
2014-04-23 08:09:17,Running,,2.18,26:38,12:14,4.90,181.0,37.09,,,2014-04-23-0809.gpx
2014-04-22 08:13:01,Running,,3.01,38:10,12:41,4.73,250.0,82.09,,,2014-04-22-0813.gpx
2014-04-21 07:57:42,Running,,2.51,30:39,12:14,4.90,266.0,311.30,,,2014-04-21-0757.gpx
2014-04-19 09:37:05,Running,,3.02,37:41,12:29,4.80,242.0,29.82,,,2014-04-19-0937.gpx
2014-04-16 07:38:18,Running,,2.01,23:38,11:45,5.11,170.0,20.73,,,2014-04-16-0738.gpx
2014-04-15 07:55:20,Running,,3.01,37:28,12:27,4.82,253.0,81.65,,,2014-04-15-0755.gpx
2014-04-14 17:49:45,Running,,2.02,23:54,11:51,5.06,221.0,247.40,,,2014-04-14-1749.gpx
2014-04-12 11:29:30,Running,,3.22,41:55,13:01,4.61,257.0,45.73,,,2014-04-12-1129.gpx
2014-04-09 09:06:19,Running,,2.00,22:34,11:17,5.32,173.0,38.74,,,2014-04-09-0906.gpx
2014-04-08 08:10:31,Running,,3.01,36:38,12:10,4.93,257.0,79.35,,,2014-04-08-0810.gpx
2014-04-07 18:07:42,Running,,2.01,22:43,11:18,5.31,162.0,34.97,,,2014-04-07-1807.gpx
2014-04-01 17:51:33,Running,,3.00,36:27,12:08,4.94,253.0,72.20,,,2014-04-01-1751.gpx
2014-03-31 17:30:30,Running,,2.01,23:00,11:28,5.23,169.0,29.73,,,2014-03-31-1730.gpx
2014-03-29 07:55:54,Running,,3.01,37:06,12:19,4.87,251.0,63.48,,,2014-03-29-0755.gpx
2014-03-27 18:06:49,Running,,2.01,24:13,12:04,4.97,169.0,31.15,,,2014-03-27-1806.gpx
2014-03-25 17:27:26,Running,,3.01,34:21,11:25,5.25,250.0,74.23,,,2014-03-25-1727.gpx
2014-03-24 17:45:31,Running,,2.01,23:15,11:34,5.19,162.0,31.26,,,2014-03-24-1745.gpx
2014-03-23 15:25:47,Hiking,,3.24,1:46:53,32:58,1.82,280.0,38.18,,,2014-03-23-1525.gpx
2014-03-22 10:27:42,Running,,4.01,50:48,12:41,4.73,327.0,80.55,,,2014-03-22-1027.gpx
2014-03-20 17:21:33,Running,,1.51,18:06,11:58,5.02,127.0,19.38,,,2014-03-20-1721.gpx
2014-03-18 18:01:58,Running,,3.00,36:36,12:11,4.92,255.0,78.71,,"The first slow spike was because there was this dog chasing me! So I walked for a bit. Then, I slowed down because I lifted today for the second time in awhile and my legs were really tired haha :\",2014-03-18-1801.gpx
2014-03-17 17:44:05,Running,,2.01,23:30,11:41,5.14,172.0,26.45,,":/",2014-03-17-1744.gpx
2014-03-15 10:48:56,Running,,1.53,18:05,11:51,5.06,210.0,394.30,,":(",2014-03-15-1048.gpx
2014-03-13 18:10:36,Running,,1.52,17:19,11:23,5.27,196.0,279.40,,,2014-03-13-1810.gpx
2014-03-11 17:35:41,Running,,3.01,36:25,12:07,4.95,397.0,655.70,,,2014-03-11-1735.gpx
